Airport,lat,lon,state,state_code,city,CSA_Name
ATL,33.64083333,-84.42722222,Georgia,GA,Atlanta,"Atlanta--Athens-Clarke County--Sandy Springs, GA-AL"
BOS,42.36361111,-71.00611111,Massachusetts,MA,Boston,"Boston-Worcester-Providence, MA-RI-NH-CT"
CLT,35.21916667,-80.93583333,North Carolina,NC,Charlotte,"Charlotte-Concord, NC-SC"
ORD,41.97805556,-87.90611111,Illinois,IL,Chicago,"Chicago-Naperville, IL-IN-WI"
MDW,41.785,-87.75194444,Illinois,IL,Chicago,"Chicago-Naperville, IL-IN-WI"
DFW,32.89444444,-97.02972222,Texas,TX,Dallas/Fort Worth,"Dallas-Fort Worth, TX-OK"
DEN,39.77444444,-104.8797222,Colorado,CO,Denver,"Denver-Aurora, CO"
DTW,42.21666667,-83.34444444,Michigan,MI,Detroit,"Detroit-Warren-Ann Arbor, MI"
HNL,21.31861111,-157.9225,Hawaii,HI,Honolulu,"Urban Honolulu, HI"
IAH,29.98333333,-95.34,Texas,TX,Houston,"Houston-The Woodlands, TX"
LAS,36.08,-115.1522222,Nevada,NV,Las Vegas,"Las Vegas-Henderson, NV"
LAX,33.9425,-118.4080556,California,CA,Los Angeles,"Los Angeles-Long Beach, CA"
MEM,35.04972222,-89.97861111,Tennessee,TN,Memphis,"Memphis-Forrest City, TN-MS-AR"
MIA,25.7925,-80.28611111,Florida,FL,Miami,"Miami-Port St. Lucie-Fort Lauderdale, FL"
FLL,26.07416667,-80.15166667,Florida,FL,Miami,"Miami-Port St. Lucie-Fort Lauderdale, FL"
MSP,44.88611111,-93.21777778,Minnesota,MN,Minneapolis/St. Paul,"Minneapolis-St. Paul, MN-WI"
EWR,40.69583333,-74.17166667,New Jersey,NJ,New York,"New York-Newark, NY-NJ-CT-PA"
JFK,40.63861111,-73.77694444,New York,NY,New York,"New York-Newark, NY-NJ-CT-PA"
LGA,40.77944444,-73.87583333,New York,NY,New York,"New York-Newark, NY-NJ-CT-PA"
MCO,28.43166667,-81.32472222,Florida,FL,Orlando,"Orlando-Lakeland-Deltona, FL"
PHL,39.86805556,-75.24861111,Pennsylvania,PA,Philadelphia,"Philadelphia-Reading-Camden, PA-NJ-DE-MD"
PHX,33.43611111,-112.0094444,Arizona,AZ,Phoenix,"Phoenix-Mesa, AZ"
SLC,40.78416667,-111.9669444,Utah,UT,Salt Lake City,"Salt Lake City-Provo-Orem, UT"
SAN,32.73277778,-117.1872222,California,CA,San Diego,"San Diego-Chula Vista-Carlsbad, CA"
SFO,37.61888889,-122.375,California,CA,San Francisco,"San Jose-San Francisco-Oakland, CA"
SEA,47.44722222,-122.3055556,Washington,WA,Seattle,"Seattle-Tacoma, WA"
TPA,27.97305556,-82.53527778,Florida,FL,Tampa,"Tampa-St. Petersburg-Clearwater, FL"
DCA,38.85166667,-77.03694444,Virginia,VA,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
BWI,39.175,-76.67,Maryland,MD,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
IAD,38.94166667,-77.4575,Virginia,VA,Washington,"Washington-Baltimore-Arlington, DC-MD-VA-WV-PA"
