,ATL,BOS,BWI,CLT,DCA,DEN,DFW,DTW,EWR,FLL,HNL,IAD,IAH,JFK,LAS,LAX,LGA,MCO,MDW,MEM,MIA,MSP,ORD,PHL,PHX,SAN,SEA,SFO,SLC,TPA
ATL,0,16166,12486,2306,11730,12334,11729,9688,13006,16227,1607,4265,7272,6397,11572,17285,24005,14597,8255,2002,11099,7256,13961,11352,6212,4338,6733,8669,4022,9927
BOS,15924,0,11238,6733,18191,10755,9822,6846,7341,10530,1842,3176,4391,3256,8103,18650,12286,16501,3677,861,5488,8131,18965,12229,6233,6168,8104,18833,3806,9373
BWI,12467,11255,0,4346,0,7554,3912,4960,1,11410,1290,0,3396,479,7913,9364,5,13280,5735,1431,2105,5012,6706,2,4265,4852,3929,4169,2765,7261
CLT,2433,7077,4722,0,2983,4880,5154,3129,7667,2711,479,1640,3099,5648,3538,4448,11316,5619,1072,1001,2577,3460,6266,4552,3072,1922,2179,3376,1325,2844
DCA,11582,18418,0,2740,0,5824,6345,4637,828,6163,674,0,3576,1816,2675,7339,6347,10535,3899,1692,6931,5190,11401,106,4044,2421,2914,4436,2206,6717
DEN,12431,11191,7320,4721,5897,0,12216,7992,6622,6793,2034,7857,9546,4557,16319,18302,11929,12115,7546,2065,3591,14069,15985,8545,18727,11505,13229,13719,8556,7142
DFW,12080,10217,4094,5148,6597,12525,0,7417,7361,6265,2043,3265,4298,3104,13181,18587,16889,10878,62,2220,5057,7563,18059,8442,7617,5852,8767,8161,4609,5346
DTW,9553,6880,5004,2996,4601,7928,7213,0,4264,7649,683,1749,4687,1147,10850,8425,10340,14213,1922,996,3245,4661,5073,4587,6075,3508,4247,4879,1768,7232
EWR,12495,7364,0,7424,791,6459,7043,4159,0,15821,1744,1063,8772,0,11098,21037,0,23541,3455,1011,7642,5362,12444,0,7168,5895,6591,24577,2226,9164
FLL,16381,11178,11428,2491,6202,6992,5943,8011,16038,0,377,2177,4655,14260,4771,7909,16809,1363,4868,1174,0,2253,9333,10136,2923,2144,3040,5023,2114,2100
HNL,1590,1957,1253,476,665,1986,1984,706,1725,385,0,1334,1291,2054,5715,18178,148,1235,38,229,244,953,1945,588,2806,4297,6585,8326,2264,417
IAD,4069,3259,0,1518,0,7765,3155,1765,1146,2195,1304,0,2131,838,3641,10532,645,5645,53,161,549,2037,2837,0,1730,3592,5356,9591,1253,2755
IAH,7362,4388,3452,3058,3676,9641,4033,4814,8976,4781,1357,2114,0,300,7430,12080,9072,7725,37,1106,4649,4155,11676,4466,2980,4089,5781,5582,2448,3714
JFK,6307,3273,534,5397,1928,4797,3014,1109,0,13333,2015,854,260,0,12774,40625,0,15231,2,113,9068,2055,5048,6,8416,7569,10158,24389,5678,6475
LAS,11427,8266,7478,3422,2645,16291,13109,10952,11254,4972,5927,3622,7226,13109,0,22155,1703,6180,7480,1896,3149,11399,15012,7258,8509,11569,17854,16870,6049,5437
LAX,16994,18827,9258,4260,7496,18033,18092,8614,21368,8034,18444,10455,11676,41574,22495,0,2162,12896,6424,2086,8360,10319,24488,11848,10793,705,21690,31338,9649,3977
LGA,23455,12485,2,10882,6155,11727,16358,10193,0,16241,160,587,8894,0,1622,2202,0,14250,5196,2036,16602,6494,36512,38,1068,872,486,1089,370,6349
MCO,13948,16983,13106,5220,10339,12073,10386,14946,23538,1524,1218,5585,7504,15297,6178,12544,13943,0,8589,2529,2360,10418,15044,20529,4805,3696,5282,5990,4527,0
MDW,8261,3697,5622,1072,3919,7437,69,1906,3563,4768,63,44,33,4,7619,6369,5352,8413,0,954,66,5374,0,3259,6438,3427,1561,1609,937,5257
MEM,2170,921,1435,945,1628,2104,2057,1012,1002,1175,236,164,1093,113,1868,2157,2049,2620,880,0,805,927,1890,1378,906,737,807,745,390,1195
MIA,10852,5558,2105,2464,7045,3682,4765,3406,8070,0,235,500,4742,9272,3102,8499,17259,2345,67,803,0,2929,9299,6405,2333,1442,1743,4085,714,2399
MSP,7261,8146,5128,3381,5237,14039,7544,4600,5397,2153,907,2030,4063,2066,11169,9983,6439,9968,5407,935,2784,0,11003,4640,10685,4939,7122,7693,2425,4655
ORD,13772,19030,6929,6150,11702,15776,17546,5002,13276,8690,1993,2757,11262,5088,14523,24158,36650,14726,0,1924,9223,11083,0,10359,12450,7523,11696,17768,3414,9207
PHL,11132,12245,7,4251,123,8565,8193,4466,0,9949,599,0,4434,4,7343,11802,94,20671,3206,1326,6230,4572,10116,0,5511,3762,4171,8842,1614,9294
PHX,6320,6576,4334,2933,4084,18907,7484,6424,7644,3069,2858,1739,2974,8471,8538,10767,1252,4830,6915,957,2388,11433,13183,5743,0,8425,16602,8672,6556,2748
SAN,4185,6408,4995,1815,2446,11446,5630,3539,5883,2085,4261,3664,3941,7609,11400,669,830,3684,3516,732,1434,5009,7530,3781,8325,0,14623,16802,6362,1965
SEA,6571,8009,3837,2012,2879,13089,8345,4159,6499,2886,6515,5336,5565,10015,17648,21430,462,5012,1532,749,1651,7125,11401,4064,15901,14284,0,17978,6372,3242
SFO,8566,18788,4279,3250,4495,13743,7977,4830,24176,4970,8578,9456,5502,24404,16378,31005,1085,6014,1649,700,4001,7935,17611,8687,8207,16723,17751,0,4264,2596
SLC,3986,3940,2724,1318,2148,8663,4513,1764,2203,2074,2262,1322,2448,5638,5944,9606,407,4454,952,402,690,2413,3352,1657,6474,6381,6426,4324,0,1207
TPA,9773,9727,7159,2520,6610,7249,5017,7679,9332,2234,432,2680,3725,6551,5524,3918,6534,0,5540,1175,2371,5062,9580,9202,2691,2028,3367,2589,1250,0
